"","Site_ID","Dep","Begin_Hour_loc","Behav","N_ves"
"1","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",0,"Transit",0
"2","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",0,"Maneuver",0
"3","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",0,"Total",0
"4","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",1,"Transit",0
"5","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",1,"Maneuver",0
"6","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",1,"Total",0
"7","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",2,"Transit",0
"8","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",2,"Maneuver",0
"9","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",2,"Total",0
"10","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",3,"Transit",0
"11","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",3,"Maneuver",0
"12","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",3,"Total",0
"13","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",4,"Transit",0
"14","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",4,"Maneuver",0
"15","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",4,"Total",0
"16","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",5,"Transit",0
"17","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",5,"Maneuver",0
"18","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",5,"Total",0
"19","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",6,"Transit",0
"20","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",6,"Maneuver",0
"21","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",6,"Total",0
"22","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",7,"Transit",0
"23","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",7,"Maneuver",0
"24","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",7,"Total",0
"25","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",8,"Transit",0
"26","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",8,"Maneuver",0
"27","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",8,"Total",0
"28","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",9,"Transit",0
"29","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",9,"Maneuver",0
"30","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",9,"Total",0
"31","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",10,"Transit",0
"32","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",10,"Maneuver",0
"33","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",10,"Total",0
"34","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",11,"Transit",1
"35","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",11,"Maneuver",0
"36","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",11,"Total",1
"37","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",12,"Transit",1
"38","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",12,"Maneuver",0
"39","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",12,"Total",1
"40","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",13,"Transit",0
"41","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",13,"Maneuver",0
"42","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",13,"Total",0
"43","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",14,"Transit",0
"44","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",14,"Maneuver",0
"45","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",14,"Total",0
"46","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",15,"Transit",1
"47","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",15,"Maneuver",0
"48","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",15,"Total",1
"49","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",16,"Transit",1
"50","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",16,"Maneuver",0
"51","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",16,"Total",1
"52","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",17,"Transit",0
"53","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",17,"Maneuver",0
"54","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",17,"Total",0
"55","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",18,"Transit",1
"56","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",18,"Maneuver",0
"57","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",18,"Total",1
"58","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",19,"Transit",0
"59","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",19,"Maneuver",0
"60","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",19,"Total",0
"61","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",20,"Transit",0
"62","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",20,"Maneuver",0
"63","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",20,"Total",0
"64","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",21,"Transit",0
"65","ABE","PARKSAUSTRALIA_ABROLHOS_202306_ABE",21,"Maneuver",0
