<<<<<<< HEAD
Filename,Date,Selection,RMS,PeakFreq,PeakLev,Verified,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll,begin_file_date,seln_num,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Partial,Notes,Dep,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
805830683.181226005940_sel01_S11.wav,181226000000,S11,122.9784359,172,112.103774,1,1,11,0,50,2,0,45,1,0.9615384615384616,0,0.9682539682539683,2018-12-26,11,Spectrogram 1,1,24160.81010907,24919.197631299,0,8413,2018-12-26,14:12:20,14:24:58,758.3875,Transit,n,NA,D2a_201812,EP,0.21066319444444445,2018-12-26T03:12:20Z,2018-12-26T03:12:20Z,14,2018-12-26,Wednesday
805830683.181227005940_sel01_S10.wav,181227000000,S10,128.304411,187,111.2143763,1,1,12,0,49,6,0,46,1,0.8909090909090909,0,0.9104477611940298,2018-12-27,10,Spectrogram 1,1,33097.307226269,33295.026002262,0,12198.9,2018-12-27,19:11:16,19:14:34,197.7188,Transit,n,NA,D2a_201812,EP,0.05492188888888889,2018-12-27T08:11:16Z,2018-12-27T08:11:16Z,19,2018-12-27,Thursday
805830683.190102005940_sel01_S7.wav,190102000000,S7,125.2008359,86,113.1347316,1,1,10,0,49,0,2,42,1,1,0.045454545454545456,1,2019-01-02,7,Spectrogram 1,1,22757.289942634,23371.103974195,52.581,8508.6,2019-01-02,13:18:56,13:29:10,613.814,Transit,unk,NA,D2a_201812,EP,0.17050388888888887,2019-01-02T02:18:56Z,2019-01-02T02:18:56Z,13,2019-01-02,Wednesday
805830683.190106005940_sel01_S7.wav,190106000000,S7,125.4571282,159,116.9581861,1,1,6,0,39,0,16,24,1,1,0.4,1,2019-01-06,7,Spectrogram 1,1,20139.120923575,20769.038993728,22.945,9751.4,2019-01-06,12:05:18,12:15:48,629.9181,Transit,n,NA,D2a_201812,EP,0.17497725,2019-01-06T01:05:18Z,2019-01-06T01:05:18Z,12,2019-01-06,Sunday
=======
Filename,Date,Selection,RMS,PeakFreq,PeakLev,Verified,used,...9,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll,begin_file_date,seln_num,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Notes,Dep,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
805830683.180816020834_sel01_S1.wav,180816000000,S1,129.434753,161,113.6472939,1,1,NA,9,0,48,0,4,40,1,1,0.09090909090909091,1,2018-08-16,1,Spectrogram 1,1,36891.073157182,38703.759966935,0,10135.5,2018-08-16,12:23:23,12:53:35,1812.6868,Transit,NA,D1_201808,EP,0.5035241111111111,2018-08-16T02:23:23Z,2018-08-16T02:23:23Z,12,2018-08-16,Thursday
805830683.180818020816_sel13_S16.wav,180818000000,S16,117.5122929,112,108.8133964,1,1,NA,16,0,45,16,0,48,1,0.7377049180327869,0,0.7922077922077922,2018-08-18,16,Spectrogram 1,1,55842.512193056,56193.414628659,59.9,9910.2,2018-08-18,17:38:55,17:44:46,350.9024,Maneuver+Transit,on/off,D1_201808,EP,0.09747288888888889,2018-08-18T07:38:55Z,2018-08-18T07:38:55Z,17,2018-08-18,Saturday
805830683.180818020816_sel21_S20.wav,180818000000,S20,122.9306439,249,110.8936569,1,1,NA,12,0,49,7,0,46,1,0.875,0,0.8970588235294118,2018-08-18,20,Spectrogram 1,1,26805.446303224,27965.001060097,54.645,9371.585,2018-08-18,09:35:00,09:54:20,1159.5548,Maneuver+Transit,on/off,D1_201808,EP,0.3220985555555555,2018-08-17T23:35:00Z,2018-08-17T23:35:00Z,9,2018-08-18,Saturday
805830683.180828012440_sel01_S4.wav,180828000000,S4,121.8281069,175,112.9232502,1,1,NA,10,0,50,0,1,43,1,1,0.022727272727272728,1,2018-08-28,4,Spectrogram 1,1,53966.992801242,54084.402859596,0,9940.8,2018-08-28,16:24:03,16:26:01,117.4101,Transit,NA,D1_201808,EP,0.032613916666666666,2018-08-28T06:24:03Z,2018-08-28T06:24:03Z,16,2018-08-28,Tuesday
805830683.180829011930_sel31_S14.wav,180829000000,S14,117.8434575,213,109.1539967,1,1,NA,15,0,46,14,0,48,1,0.7666666666666667,0,0.8133333333333334,2018-08-29,14,Spectrogram 1,1,40256.359697142,40492.158268502,0,6065.1,2018-08-29,12:30:24,12:34:20,235.7986,Transit,NA,D1_201808,EP,0.0654996111111111,2018-08-29T02:30:24Z,2018-08-29T02:30:24Z,12,2018-08-29,Wednesday
805830683.180830011655_sel16_S14.wav,180830000000,S14,119.3220572,176,110.6269653,1,1,NA,13,0,48,8,0,47,1,0.8571428571428571,0,0.8840579710144928,2018-08-30,14,Spectrogram 1,1,55409.884952756,55465.23892865,0,8722.7,2018-08-30,16:40:22,16:41:17,55.354,Transit,NA,D1_201808,EP,0.015376111111111111,2018-08-30T06:40:22Z,2018-08-30T06:40:22Z,16,2018-08-30,Thursday
>>>>>>> 51c86bfe8588506aed96acc46f7a416b2c2ad2c7
